museum,collection,GUID,sciname,locuncertain,country,state,locality,date,lat,lon,alt,ssp,age,sex,toel1,toea1,toeb1,toel2,toea2,toeb2,toel3,toea3,toeb3,toel4,toea4,toeb4,toel5,toea5,toeb5,toel6,toea6,toeb6,toem1,toem2,toem3,toem4,toem5,toem6,rlightl1,rlighta1,rlightb1,rlightl2,rlighta2,rlightb2,rlightl3,rlighta3,rlightb3,rlightl4,rlighta4,rlightb4,rlightl5,rlighta5,rlightb5,rlightl6,rlighta6,rlightb6,rlightm1,rlightm2,rlightm3,rlightm4,rlightm5,rlightm6,rdarkl1,rdarka1,rdarkb1,rdarkl2,rdarka2,rdarkb2,rdarkl3,rdarka3,rdarkb3,rdarkl4,rdarka4,rdarkb4,rdarkl5,rdarka5,rdarkb5,rdarkl6,rdarka6,rdarkb6,rdarkm1,rdarkm2,rdarkm3,rdarkm4,rdarkm5,rdarkm6,backl1,backa1,backb1,backl2,backa2,backb2,backl3,backa3,backb3,backl4,backa4,backb4,backl5,backa5,backb5,backl6,backa6,backb6,backm1,backm2,backm3,backm4,backm5,backm6
MSB,Bird,18024,Bubo virginianus pallescens,5063,United States,New Mexico,Farmington,8/2/1993,36.7504387,-108.1871796,1660.2,pal,adult,F,47.24,3.85,24.61,42.67,4.1,18.45,44.11,2.93,18.52,49.62,3.8,20.24,56.08,4.07,22,55.72,4.73,21.13,34.48,24.66,23.11,19.7,25.02,21.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,2,13.4,31.47,6.55,20.36,19.79,6.19,17.21,13.78,3.77,10.79,16.68,5.79,10.26,22.02,2.93,16,82.28,51.37,70.06,78.89,70.68,67.09
MSB,Bird,18025,Bubo virginianus pallescens,5063,United States,New Mexico,Farmington,5/24/1993,36.7504387,-108.1871796,1660.2,pal,adult,F,32.87,8.91,26.98,43.12,3.66,27.15,38.3,3.34,25.77,34.58,7.27,23.77,34.57,5.75,26.8,36.3,4.9,22.68,43.25,34.12,36.42,36.51,44.72,31.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.39,1.35,8.3,21.58,4.61,12.89,11.99,0.56,9.04,13.39,1.35,8.3,12.52,1.23,9.23,16.3,0.88,11.94,83.38,62.21,86.26,83.94,86.56,74.82
MSB,Bird,9370,Bubo virginianus subarcticus x Bubo virginianus lagophonus,5063,United States,New Mexico,Farmington,11/7/1992,36.7504387,-108.1871796,1660.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,24309,Bubo virginianus pallescens,5063,United States,New Mexico,Farmington,5/1/2004,36.7504387,-108.1871796,1660.2,pal,adult,M,56.4,4.17,21.17,58.83,0.92,30.17,63.06,3.16,24.58,33.13,2.15,21.15,35.2,5.43,23.66,45.68,4.4,30.38,16.07,17.69,21.6,40.27,29.7,30.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.18,1.56,5,11.93,0.71,8,5.88,1.4,4.22,11.22,0.98,10.65,15.71,-1.17,12.84,12.51,0.42,10.2,99.76,118.81,95.88,98.55,81.48,75.74
MSB,Bird,4224,Bubo virginianus,588,United States,New Mexico,Navajo Dam,12/1/1976,36.8038557,-107.6112556,1778.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,25669,Bubo virginianus,19292,United States,New Mexico,"Aztec, 13 mi E",1/30/2007,36.8222256,-107.7601201,1869.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,26256,Bubo virginianus,8047,United States,New Mexico,Aztec,12/14/2006,36.8222275,-107.9928589,1722.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,18745,Bubo virginianus lagophonus,3746,United States,New Mexico,"Chama; 4.5 mi. S, 0.9 mi. E",3/22/1995,36.824585,-106.5674915,2330.5,lag,adult,M,22.06,5.82,19.59,32.1,8.06,30.26,28.99,7.21,27.91,26.44,4.51,24.22,23.86,6.35,19.74,27.01,7.32,21.12,39.96,50.32,51.77,47.06,52.73,50.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,0.4,1.94,4.99,0.19,3.6,5.38,1.61,2.57,6.55,0.35,3.79,8.23,0.48,7.9,5.78,1.67,2.76,96.62,103.57,111.85,99.35,108.74,128.66
MSB,Bird,20280,Bubo virginianus,10036,United States,New Mexico,Farmington; 5 mi N,8/4/1996,36.8345691,-108.215332,1679.2,oth,immature,F,47.63,7.1,25.89,43.19,6.37,23.47,55.75,4.39,28.33,65.09,6.47,23.44,58.58,5.27,25.1,60.14,5.65,26.21,25.21,31.15,29.3,21.97,16.19,17.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.91,3.39,8.38,14.92,4.01,14.23,9.5,4.13,8.2,9.3,2.85,7.15,8.73,1.31,7.54,5.51,2.85,2.73,74.6,70.52,103.64,99.66,108.03,77.93
MSB,Bird,26855,Bubo virginianus,4814,United States,New Mexico,Raton,7/7/2008,36.8914285,-104.4442749,2027.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,19811,Bubo virginianus pinorum,11129,United States,New Mexico,Dulce area,5/28/1996,36.9317812,-106.9999695,2062.4,pin,adult,M,56.9,4.25,29.35,60.39,3.94,26.97,61.1,5.31,24.53,59.13,5.47,27.87,39.1,5.24,30.14,32.42,6.17,23.53,17.97,34.91,18.13,42.43,39.6,25.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,1.42,2.06,6.36,2.12,4.55,15.26,3.44,13.18,3.61,0.83,1.7,5.42,0.08,4.48,6.81,3.04,4.13,76.69,64.77,73.3,107,120.63,96
MSB,Bird,18277,Bubo virginianus,11129,United States,New Mexico,Dulce area,5/28/1996,36.9317812,-106.9999695,2062.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,25551,Bubo virginianus lagophonus,3802,United States,New Mexico,Dulce,9/9/2006,36.9336224,-106.9989281,2065.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,3127,Bubo virginianus,2416,United States,New Mexico,Rio Los Pinos; 2 miles N of San Miguel,6/6/1964,36.9542815,-106.1210632,2531.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,19626,Bubo virginianus pinorum,683,United States,New Mexico,La Plata; (at mine),10/2/1996,36.9707239,-108.1663656,1829.9,pin,adult,M,62.95,3.59,34.44,67.53,3.06,33.9,72.48,4.89,31.08,50.31,9.28,37.04,50.27,9.37,36.04,50.24,7.32,40.01,23.87,25.38,17.47,16.55,13.89,11.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.48,2.38,5.92,12.91,3.68,11.57,7.71,2.33,5.37,6.67,1.65,3.95,13.91,1.2,9.46,12.57,4.26,12.42,74.59,80.88,93.63,102.57,84.28,70.84
MSB,Bird,7013,Bubo virginianus pallescens,35441,United States,New Mexico,"Taos; 22 mi N, Questa",11/30/1990,37.0321584,-105.6033325,2315.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,4860,Bubo virginianus virginianus,1603,United States,Missouri,"I-44; ""1 mi W Conway exit""",12/21/1980,37.5043129,-92.8598785,416.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,44278,Bubo virginianus,1000,United States,California,Walnut Creek,2/20/2004,37.91008333,-122.0651833,44.5,oth,adult,M,49.73,5.34,25.94,50.28,8.16,31,55.36,5.81,25.67,55.53,5.38,29.32,55.56,7.81,32.34,57.61,2.96,31.16,29.45,27.8,20.74,28.11,23.95,21.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.88,5.58,12.33,8.33,2.89,6.59,4.34,1.31,2.69,8.74,2.16,6.79,9.14,0.61,7.75,14.56,2.38,10.76,92.66,108.74,113.48,87.47,114.05,77.65
MSB,Bird,17842,Bubo virginianus,1300,United States,California,Ione,9/1/1970,38.3546104,-120.9397507,102.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,17294,Bubo virginianus,1300,United States,California,Ione,8/1/1969,38.3546104,-120.9397507,102.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,14759,Bubo virginianus pacificus,5660,United States,California,W of Ione,5/2/1968,38.3613107,-120.9580994,85.4,pac,adult,M,27.7,7.4,26.76,28.38,7.76,22.33,23.95,5.29,24.26,21.81,7.04,20.82,18.09,6.98,17.16,30.37,8.37,28,59.4,51.11,54.26,60.04,47.67,53.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,2.13,5.87,11.19,5.19,10.9,15.66,3.55,12.11,8.27,3.05,5.75,7.58,1.76,4.44,16.1,2.74,13.21,93,85.38,88.08,103.13,116.36,81.21
MSB,Bird,23281,Bubo virginianus pinorum,10254.02967,United States,Utah,Hgw 72 NE of Loa = Fish Lake Nat. Forest,7/20/2002,38.59055,-111.473567,2714.5,pin,adult,F,40.44,10.02,23.53,29.28,8.33,22.44,33.26,9.7,24.93,38.18,8.35,29.29,38.93,8.67,20.33,33.26,9.7,24.93,37.82,46.36,30.29,35.94,39.02,33.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.99,6.51,20.72,15.14,2.9,12,9.09,1.6,6.08,6.43,2.8,4.64,11.05,0.58,8.71,9.28,2,7.93,70.94,73.15,106.45,94.18,95.89,104.29
MSB,Bird,11219,Bubo virginianus virginianus,26597,United States,Kansas,No specific locality recorded.,11/11/2022,38.9041998,-95.2798841,266.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,11220,Bubo virginianus virginianus,26597,United States,Kansas,No specific locality recorded.,2/14/2020,38.9041998,-95.2798841,266.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,13511,Bubo virginianus,402.336,United States,Colorado,"Deerlodge Park Campground, left bank of Yampa River",7/5/1984,40.449689,-108.523156,1716.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,13510,Bubo virginianus,402.336,United States,Colorado,"Deerlodge Park Campground, left bank of Yampa River",7/5/1984,40.449689,-108.523156,1716.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,13503,Bubo virginianus,402.336,United States,Colorado,"Deerlodge Park Campground, left bank of Yampa River",7/7/1984,40.449689,-108.523156,1716.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,13504,Bubo virginianus,402.336,United States,Colorado,"Deerlodge Park Campground, left bank of Yampa River",7/7/1984,40.449689,-108.523156,1716.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,13529,Bubo virginianus,402.336,United States,Colorado,"Deerlodge Park Campground, left bank of Yampa River",7/6/1984,40.449689,-108.523156,1716.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,12964,Bubo virginianus,29.8251832,United States,Wyoming,"7 mi S Saratoga, 0.5 mi S jct WY 130-230",8/20/1980,41.356174,-106.743127,2132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,11221,Bubo virginianus occidentalis,3053,United States,California,Tule Lake,10/1/1931,41.9093227,-121.5330467,1229.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,4858,Bubo virginianus,9810,United States,South Dakota,"Edgemont; 6 mi W, US Hwy 18, road kill",11/23/1970,43.2977943,-103.9488776,1134.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,4321,Bubo virginianus lagophonus,1433.273226,United States,Washington,"Wenas Lake; ""2 mi NW""",8/6/1957,46.8381708,-120.7066553,697.3,pin,adult,F,33.31,6.2,17.49,34.41,6.18,22.63,43.57,4.21,27.23,33.68,6,24.65,38.97,10.09,18.56,34.012,6.2,22.6,52.3,34.99,30.29,26.27,45.05,57.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.62,4.11,5.53,12.91,3.68,11.57,9.83,2.69,8.29,11.24,1.8,9.81,17.38,2.03,13.27,10.84,2.51,9.67,112.63,60.09,114.19,75.04,78.16,65.61
MSB,Bird,4320,Bubo virginianus lagophonus,6013.398258,United States,Washington,upper Umptanum Creek,8/7/1957,46.916513,-120.707819,874.4,lag,adult,F,20.96,8.77,17.53,18.13,6.86,18.3,21.63,5.84,19.56,30.55,6.58,26.74,21.84,7.8,19.74,18.61,7.62,17.25,58.13,68.25,65.77,57.36,63.07,58.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35,0.69,2.1,10.07,3.29,4.66,6.66,0.85,4.65,11.14,2.93,6.96,3.61,0.83,1.7,13.63,1.6,11.63,86.86,104.02,104.02,97.39,116.96,85.38
MSB,Bird,9480,Bubo virginianus saturatus,733.396537,United States,Washington,"Tumwater, ca. 5 mi. S on I-5",8/14/1989,46.938572,-122.941634,58.8,sat,adult,M,11.6,3.49,12.7,18.74,4.14,18.13,17.31,4.45,15.74,15.5,4.55,15.45,13.03,4.24,12.62,16.11,4.96,17.69,75.12,72.56,81.02,54.33,79.77,75.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.97,1.36,1.91,7.25,2.27,5.09,3.31,0.79,1.56,3.96,0.76,2.44,3.96,0.76,2.44,3.3,-0.25,2.5,92.19,101.23,121.32,128.98,109.15,128.23
MSB,Bird,17292,Bubo virginianus,7605.186736,United States,Washington,George; 5 mi E,10/18/1974,47.0790224,-119.7499274,365.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,10168,Bubo virginianus virginianus,7160,United States,Minnesota,Porlage River,6/12/1932,48.1014703,-92.0319557,423.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,9481,Bubo virginianus subarcticus,6892,United States,Minnesota,Town of Dister,3/19/1936,48.9346797,-95.9429169,317.4,subarcticus,adult,M,81.4,0.49,25.96,79.17,0.68,28.14,72.69,1.04,29.04,67.39,1.73,27.6,65.54,0.25,22.91,64.97,1.55,29.05,11.42,13.99,7.56,20.22,12.99,18.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.73,4.15,14.42,22.49,4.44,14.04,12.21,3.43,8.31,33.41,3.2,17.23,22.14,3.45,17.15,12.55,2.88,7.22,72.59,54.98,69.05,68.85,68.65,58.92
MSB,Bird,6858,Bubo virginianus,,,,No specific locality recorded.,2/28/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,7627,Bubo virginianus,,United States,Texas,Wink,5/12/1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,20041,Bubo virginianus lagophonus,,United States,Alaska,Anchorage,8/15/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,20402,Bubo virginianus virginianus,,United States,Texas,Falfurrias; 11 mi W,12/20/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,12962,Bubo virginianus,,United States,Colorado,Curecanti National Reacreation Area,10/7/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,14140,Bubo virginianus pallescens,,United States,Texas,Dell City; Salt Flats,6/1/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,14267,Bubo virginianus virginianus,,United States,New Jersey,No specific locality recorded.,8/5/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,29676,Bubo virginianus,,United States,Oregon,La Grande,7/17/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,29728,Bubo virginianus,,United States,New Mexico,Regina (ca. 7 mi. N Cuba),7/19/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,29729,Bubo virginianus,,United States,New Jersey,Cape May,10/15/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,13075,Bubo virginianus,,United States,New Mexico,Los Alamos Canyon,10/4/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,7011,Bubo virginianus lagophonus,,United States,Oregon,La Grande; Near,12/3/1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,18657,Bubo virginianus pallescens x Bubo virginianus virginianus,,United States,Texas,Tivoli; 13 mi. S,1/21/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,19940,Bubo virginianus virginianus,,United States,Oklahoma,Warner; 7 m. E,4/10/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,20401,Bubo virginianus virginianus x Bubo virginianus pallescens,,United States,Texas,Eagle Pass; 19 mi ESE,12/20/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,14133,Bubo virginianus lagophonus,,United States,Colorado,S of San Luis near New Mexico border,10/6/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,26906,Bubo virginianus,,United States,New Mexico,Rio Rancho,9/23/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,28649,Bubo virginianus,,United States,New Mexico,"""PIO""",11/8/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,28648,Bubo virginianus,,United States,New Mexico,San Isidro,11/30/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,29237,Bubo virginianus,,United States,New Mexico,Belen (Rio Grande),11/20/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,26905,Bubo virginianus,,United States,New Mexico,Santa Fe (Airport Road),3/25/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,29186,Bubo virginianus,,United States,Oregon,Bend,5/1/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,29187,Bubo virginianus,,United States,Washington,Pasco,7/7/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,26856,Bubo virginianus,,United States,New Mexico,Cuyamungue,7/23/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,30485,Bubo virginianus,,United States,New Mexico,Los Alamos National Laboratories,6/26/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,30488,Bubo virginianus,,United States,New Mexico,"Carlsbad, Derrick Road",10/25/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,39123,Bubo virginianus,,United States,New Mexico,Pojoaque,2/12/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,28652,Bubo virginianus,,United States,New Mexico,"""I-40)",1/4/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,18342,Bubo virginianus pallescens x Bubo virginianus virginianus,,United States,Texas,Roma; 10 mi WNW,3/2/1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,20124,Bubo virginianus pallescens,,United States,New Mexico,Wagon Wheel,11/23/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,12963,Bubo virginianus,,United States,Colorado,Ansel Watrous Campground along Hwy 14 [ca. 2.5 mi (by road) W Poudre Park],2/9/1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,10169,Bubo virginianus pallescens,,United States,Texas,6 mi N Laredo,1/27/1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
