museum,collection,GUID,sciname,locuncertain,country,state,locality,date,lat,lon,alt,ssp,age,sex,toel1,toea1,toeb1,toel2,toea2,toeb2,toel3,toea3,toeb3,toel4,toea4,toeb4,toel5,toea5,toeb5,toel6,toea6,toeb6,toem1,toem2,toem3,toem4,toem5,toem6,rlightl1,rlighta1,rlightb1,rlightl2,rlighta2,rlightb2,rlightl3,rlighta3,rlightb3,rlightl4,rlighta4,rlightb4,rlightl5,rlighta5,rlightb5,rlightl6,rlighta6,rlightb6,rlightm1,rlightm2,rlightm3,rlightm4,rlightm5,rlightm6,rdarkl1,rdarka1,rdarkb1,rdarkl2,rdarka2,rdarkb2,rdarkl3,rdarka3,rdarkb3,rdarkl4,rdarka4,rdarkb4,rdarkl5,rdarka5,rdarkb5,rdarkl6,rdarka6,rdarkb6,rdarkm1,rdarkm2,rdarkm3,rdarkm4,rdarkm5,rdarkm6,backl1,backa1,backb1,backl2,backa2,backb2,backl3,backa3,backb3,backl4,backa4,backb4,backl5,backa5,backb5,backl6,backa6,backb6,backm1,backm2,backm3,backm4,backm5,backm6
MSB,Bird,25633,Bubo virginianus,2028,United States,New Mexico,Espanola,10/15/2006,36.0040204,-106.0614165,1711.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,24854,Bubo virginianus lagophonus,5063,United States,New Mexico,Cuba,8/25/2005,36.0222435,-106.958374,2105.3,lag,adult,F,26.93,5.12,24.28,27.21,6.8,26.72,29.47,8.63,25.74,28.24,6.51,22.22,22.41,6.02,17.4,36.29,6.42,19.83,60.21,51.54,48.79,56.6,31.68,45.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.93,1.28,4.9,7.64,1.61,5.28,5.87,0.67,4.82,3.69,1.2,2.33,8.6,0.76,6.61,9.3,2.85,7.15,114.61,89.02,110.79,84.8,94.78,89.02
MSB,Bird,18278,Bubo virginianus pallescens x Bubo virginianus pinorum,10352,United States,New Mexico,Chaco Canyon Area,4/30/1996,36.0318871,-107.9049683,1921.5,hyb,adult,M,63.16,0.57,24.35,62.75,0.06,24.26,60.9,1.45,21.52,68.72,1.57,20.94,46.68,1.54,25.31,50.67,0.31,31.36,12.44,24.3,25.24,24.73,25.76,23.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.76,1.99,8.2,12.68,0.82,12.24,11.25,2.63,8.95,12.53,2.05,8.24,7.18,1.56,5,18.9,3.17,14.63,71.31,89.34,81.74,54.41,80.42,49.16
MSB,Bird,19484,Bubo virginianus pallescens,5626,United States,New Mexico,Cuba; Just N of,6/22/1996,36.0596463,-106.9525909,2182.5,pal,adult,F,48.99,2.81,23.76,43.95,5.2,18.72,47.54,4.73,21.91,57.34,5.42,28.58,50.03,3.46,27.7,53.44,4.67,26.27,27.64,25.39,26.5,20.09,24.02,23.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.69,1.29,8.11,14.55,1.58,11.81,6.36,2.12,4.55,15.43,3.3,8.77,11.71,5.32,5.18,7.77,2.19,6.18,93.35,90.31,74.59,90.97,80.42,61.36
MSB,Bird,8983,Bubo virginianus pallescens x Bubo virginianus virginianus,1737,United States,New Mexico,Hernandez; 6 mi. N Espanola,6/8/1992,36.0627995,-106.1194649,1733.6,oth,juv,M,35.13,7.63,25.92,32.58,5.76,27.83,40.76,6.43,29.26,36.95,5.74,25.88,36.09,5.18,25.78,35.04,6.33,26.87,39.3,37.95,47.38,46.19,45.56,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,25537,Bubo virginianus,20157,United States,New Mexico,31 mile road,9/26/2006,36.0901702,-106.2020874,1872.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,2892,Bubo virginianus,1741,United States,New Mexico,"Ghost Ranch Museum; 2 mi S, DOR US 84",10/31/1965,36.1599144,-106.2429428,1925.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,18803,Bubo virginianus pallescens,3758,United States,New Mexico,Regina,6/6/1994,36.1772382,-106.956707,2282.3,pal,adult,M,38.08,5.1,25.9,42.01,4.26,27.12,40.79,4.41,26.03,44.1,2.26,19.39,42.91,4.2,22.28,40.23,4.86,22.06,27.49,27.26,19.32,33.59,35.95,34.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.98,3.91,9.84,13.86,4.45,10.86,9.53,4.99,7.44,19.18,2.76,12.43,13.05,1.89,9.4,13.45,1.21,9.4,80.68,71.1,71.31,60.53,61.7,79.91
MSB,Bird,28759,Bubo virginianus,5063,United States,New Mexico,Abiquiu,11/5/2008,36.20724,-106.31864,1849.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,28655,Bubo virginianus,8047,United States,New Mexico,Abiquiu,2/23/2009,36.2072411,-106.318634,1849.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
